product_id,product_name,category,brand,price,stock_quantity,supplier,rating
P0001,Product 1,Electronic,BrandB,4015,111,S1,4.5
P0002,Product 2,Electronic,BrandA,4768,256,S1,2.3
P0003,Product 3,Electronic,BrandB,4491,212,S2,2.3
P0004,Product 4,Electronic,BrandA,2300,268,S1,4.7
P0005,Product 5,Home,BrandB,934,169,S2,0.6
P0006,Product 6,Electronic,BrandA,672,256,S2,2.9
P0007,Product 7,Electronic,BrandA,3618,292,S1,4.7
P0008,Product 8,Electronic,BrandA,4451,50,S1,3.2
P0009,Product 9,Electronic,BrandB,535,55,S2,1.4
P0010,Product 10,Electronic,BrandB,2651,54,S2,0.5
P0011,Product 11,Electronic,BrandA,4497,86,S2,4.9
P0012,Product 12,Electronic,BrandB,1773,159,S1,1.3
P0013,Product 13,Home,BrandA,3279,130,S2,0.2
P0014,Product 14,Electronic,BrandB,1780,138,S2,2
P0015,Product 15,Electronic,BrandB,4897,187,S1,4
P0016,Product 16,Home,BrandA,4109,213,S2,1.9
P0017,Product 17,Electronic,BrandA,2629,123,S1,2.2
P0018,Product 18,Electronic,BrandA,1332,29,S2,1.5
P0019,Product 19,Electronic,BrandB,3661,59,S2,4.2
P0020,Product 20,Electronic,BrandA,2924,147,S2,0.1
P0021,Product 21,Electronic,BrandA,2258,40,S2,3.7
P0022,Product 22,Home,BrandA,2429,15,S1,0.3
P0023,Product 23,Home,BrandA,1908,136,S2,0.7
P0024,Product 24,Electronic,BrandA,1660,299,S2,0.8
P0025,Product 25,Electronic,BrandB,1930,235,S2,3.5
P0026,Product 26,Electronic,BrandB,622,155,S2,1.4
P0027,Product 27,Home,BrandB,1991,230,S2,4.9
P0028,Product 28,Electronic,BrandA,3983,144,S1,2.5
P0029,Product 29,Electronic,BrandA,620,222,S1,4.6
P0030,Product 30,Electronic,BrandA,694,62,S2,1.8
P0031,Product 31,Home,BrandB,3485,187,S1,1.8
P0032,Product 32,Electronic,BrandB,4192,252,S2,3.3
P0033,Product 33,Home,BrandA,4318,209,S2,0.3
P0034,Product 34,Electronic,BrandA,4708,181,S1,2.4
P0035,Product 35,Electronic,BrandB,3862,293,S2,0.2
P0036,Product 36,Electronic,BrandB,3232,275,S2,2.6
P0037,Product 37,Electronic,BrandA,972,48,S2,0.9
P0038,Product 38,Electronic,BrandA,4175,98,S2,2.6
P0039,Product 39,Electronic,BrandB,3276,103,S1,1.1
P0040,Product 40,Electronic,BrandB,1907,45,S1,1.2
P0041,Product 41,Electronic,BrandB,890,124,S2,2.7
P0042,Product 42,Electronic,BrandA,3669,39,S2,3.8
P0043,Product 43,Electronic,BrandA,2872,79,S1,3.3
P0044,Product 44,Electronic,BrandB,3622,295,S1,1.7
P0045,Product 45,Electronic,BrandA,3259,178,S1,0.3
P0046,Product 46,Electronic,BrandA,2893,259,S1,4.8
P0047,Product 47,Electronic,BrandB,4056,134,S2,1.2
P0048,Product 48,Electronic,BrandA,1577,275,S1,2.9
P0049,Product 49,Electronic,BrandA,2750,103,S1,0.9
P0050,Product 50,Electronic,BrandB,195,158,S2,0.1
P0051,Product 51,Electronic,BrandB,2662,236,S1,2.8
P0052,Product 52,Electronic,BrandB,3908,135,S1,0.7
P0053,Product 53,Home,BrandB,3932,65,S2,3.8
P0054,Product 54,Electronic,BrandA,953,10,S1,2.7
P0055,Product 55,Electronic,BrandA,3194,62,S2,3.5
P0056,Product 56,Electronic,BrandA,562,188,S2,0.1
P0057,Product 57,Home,BrandA,1328,95,S1,1
P0058,Product 58,Electronic,BrandA,927,191,S1,0.7
P0059,Product 59,Home,BrandB,3785,145,S2,3.9
P0060,Product 60,Electronic,BrandA,603,202,S1,3.6
P0061,Product 61,Electronic,BrandA,3876,210,S2,2.1
P0062,Product 62,Electronic,BrandA,990,119,S2,0.2
P0063,Product 63,Electronic,BrandA,3198,173,S2,4.8
P0064,Product 64,Electronic,BrandA,3878,113,S2,3.7
P0065,Product 65,Electronic,BrandB,3769,233,S2,3.6
P0066,Product 66,Home,BrandB,3478,7,S2,2.5
P0067,Product 67,Electronic,BrandA,2090,287,S2,2.9
P0068,Product 68,Electronic,BrandB,1393,178,S2,2
P0069,Product 69,Electronic,BrandA,3228,240,S2,1.8
P0070,Product 70,Electronic,BrandA,3944,77,S1,2.7
P0071,Product 71,Home,BrandB,2127,15,S1,2.5
P0072,Product 72,Home,BrandA,2669,74,S2,2.1
P0073,Product 73,Home,BrandA,3374,153,S1,0.4
