order_id,customer_id,product_id,order_date,quantity,discount,payment_method,order_status
O000001,C01813,P0473,05-08-2025,0,10,Card,Returned
O000002,C00019,P0402,04-02-2025,4,20,Upi,Delivered
O000003,C00813,P0209,28-03-2024,2,0,Upi,Delivered
O000004,C00781,P0320,05-04-2024,4,10,Cash,Shipped
O000005,C01630,P0357,02-03-2025,1,0,Card,Delivered
O000006,C00736,P0316,03-01-2024,4,10,Cash,Delivered
O000007,C00843,P0391,09-10-2024,2,0,Upi,Returned
O000008,C01067,P0119,12-10-2024,2,0,Card,Shipped
O000009,C01277,P0276,16-08-2024,0,0,Card,Shipped
O000010,C00151,P0047,09-10-2025,0,0,Card,Shipped
O000011,C01208,P0316,09-05-2024,3,10,Cash,Delivered
O000012,C01740,P0412,21-05-2024,3,0,Upi,Cancelled
O000013,C00471,P0028,27-12-2024,3,110,Upi,Delivered
O000014,C01584,P0029,15-01-2025,1,10,Card,Delivered
O000015,C00129,P0004,06-08-2024,2,0,Upi,Cancelled
O000016,C01304,P0134,06-06-2025,3,0,Upi,Delivered
O000017,C01503,P0318,29-03-2024,1,10,Upi,Returned
O000018,C01507,P0328,29-12-2024,4,20,Upi,Delivered
O000019,C01831,P0429,27-07-2024,0,20,Cash,Delivered
O000020,C01477,P0462,21-04-2024,4,15,Cash,Delivered
O000021,C01838,P0085,11-10-2024,3,20,Cash,Returned
O000022,C00122,P0014,13-07-2025,3,10,Card,Delivered
O000023,C01033,P0127,12-01-2024,3,0,Upi,Delivered
O000024,C00439,P0003,28-10-2025,1,20,Upi,Delivered
O000025,C01234,P0019,03-10-2025,2,20,Upi,Delivered
O000026,C01523,P0294,16-10-2024,2,20,Upi,Cancelled
O000027,C00156,P0419,24-03-2024,2,0,Upi,Delivered
O000028,C00098,P0251,26-11-2024,4,20,Cash,Delivered
O000029,C01624,P0112,17-03-2025,1,10,Upi,Delivered
O000030,C01596,P0356,20-12-2024,1,20,Upi,Delivered
O000031,C00913,P0301,13-06-2024,2,10,Card,Cancelled
O000032,C01154,P0164,03-02-2025,1,20,Cash,Cancelled
O000033,C00014,P0470,26-03-2025,3,110,Card,Delivered
O000034,C00156,P0049,17-03-2025,4,15,Upi,Cancelled
O000035,C01837,P0234,08-06-2025,4,10,Upi,Shipped
O000036,C01622,P0460,18-03-2025,0,20,Upi,Delivered
O000037,C00042,P0120,01-03-2024,1,0,Card,Cancelled
O000038,C01565,P0113,06-08-2024,1,10,Upi,Delivered
O000039,C01807,P0295,28-01-2025,2,0,Upi,Cancelled
O000040,C01445,P0485,23-07-2024,4,15,Upi,Shipped
O000041,C01941,P0060,16-09-2025,2,20,Cash,Cancelled
O000042,C00458,P0408,23-10-2024,2,20,Upi,Shipped
O000043,C01879,P0101,17-08-2025,1,20,Upi,Shipped
O000044,C01592,P0232,07-04-2024,0,20,Cash,Delivered
O000045,C00137,P0254,30-12-2024,4,110,Cash,Shipped
O000046,C01994,P0468,05-07-2024,3,110,Cash,Delivered
O000047,C01876,P0261,26-03-2024,3,0,Cash,Returned
O000048,C01934,P0158,27-03-2025,1,20,Upi,Shipped
O000049,C00403,P0412,29-03-2024,3,10,Card,Returned
O000050,C01590,P0384,04-09-2025,1,20,Upi,Delivered
O000051,C00399,P0254,25-09-2025,4,15,Cash,Shipped
O000052,C00150,P0164,10-04-2025,2,20,Upi,Cancelled
O000053,C00576,P0403,24-11-2024,3,0,Card,Shipped
O000054,C01998,P0475,03-12-2024,1,20,Card,Delivered
O000055,C01932,P0014,29-10-2024,1,0,Cash,Delivered
O000056,C01921,P0237,21-12-2024,0,0,Card,Returned
O000057,C00667,P0420,15-01-2025,2,20,Card,Shipped
O000058,C00866,P0266,23-11-2024,4,10,Upi,Cancelled
O000059,C00901,P0093,15-07-2024,2,20,Cash,Shipped
O000060,C00227,P0487,09-01-2025,1,20,Cash,Returned
O000061,C01516,P0149,28-09-2025,0,20,Card,Delivered
O000062,C00255,P0368,17-08-2024,4,15,Upi,Cancelled
O000063,C00786,P0014,15-01-2024,0,20,Cash,Delivered
O000064,C01729,P0109,19-07-2024,3,0,Upi,Returned
O000065,C01825,P0293,21-08-2024,4,10,Cash,Returned
O000066,C00051,P0364,30-10-2025,1,0,Card,Shipped
O000067,C01079,P0092,08-09-2024,2,20,Card,Delivered
O000068,C00353,P0398,09-06-2025,1,0,Card,Delivered
O000069,C01255,P0038,26-08-2024,2,0,Upi,Delivered
O000070,C00059,P0339,29-10-2025,3,110,Cash,Returned
O000071,C01044,P0031,09-09-2025,0,10,Upi,Shipped
O000072,C01365,P0426,18-08-2025,3,0,Upi,Delivered
O000073,C00742,P0151,08-03-2024,3,10,Card,Shipped
O000074,C00171,P0381,05-04-2024,2,20,Upi,Cancelled
O000075,C01871,P0079,18-01-2025,4,15,Card,Delivered
O000076,C00328,P0176,27-06-2025,4,10,Upi,Shipped
O000077,C00058,P0316,10-05-2024,4,15,Cash,Shipped
O000078,C01146,P0348,05-06-2024,4,15,Card,Delivered
O000079,C01153,P0308,19-04-2024,1,110,Card,Cancelled
O000080,C01105,P0483,11-04-2024,0,0,Upi,Shipped
O000081,C01692,P0162,23-10-2025,1,10,Upi,Delivered
O000082,C01819,P0062,21-07-2025,1,110,Upi,Returned
O000083,C01664,P0338,25-04-2024,1,0,Cash,Delivered
O000084,C01794,P0014,22-09-2025,0,0,Upi,Delivered
O000085,C00212,P0191,30-03-2024,2,110,Upi,Cancelled
O000086,C01988,P0248,13-07-2025,1,0,Upi,Delivered
O000087,C00056,P0496,03-01-2025,2,20,Upi,Delivered
O000088,C00453,P0231,26-10-2025,0,0,Upi,Cancelled
O000089,C01391,P0449,21-07-2024,0,10,Card,Cancelled
O000090,C01525,P0387,19-11-2024,1,10,Upi,Returned
O000091,C00817,P0318,13-03-2024,3,110,Card,Delivered
O000092,C00565,P0015,08-02-2025,2,0,Cash,Shipped
O000093,C00228,P0422,23-10-2025,4,10,Card,Delivered
O000094,C00733,P0322,11-01-2024,0,10,Cash,Delivered
O000095,C00618,P0385,31-03-2025,2,10,Cash,Delivered
O000096,C01246,P0326,28-10-2025,1,0,Upi,Cancelled
O000097,C01890,P0365,16-07-2024,1,0,Cash,Cancelled
O000098,C00642,P0061,28-07-2025,2,20,Upi,Returned
O000099,C01763,P0383,11-01-2024,4,10,Cash,Delivered
O000100,C01801,P0498,18-08-2025,3,110,Upi,Delivered
